vendor_id,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
3,1,3.61,17.0,1.0,0.5,3.76,0.0,0.3,22.56
3,1,5.12,21.5,0.0,0.5,5.57,5.54,0.3,33.41
3,1,1.67,8.5,0.0,0.5,0.0,0.0,0.3,9.3
3,1,4.8,17.0,0.5,0.5,0.0,0.0,0.3,18.3
3,1,1.69,9.0,1.0,0.5,2.16,0.0,0.3,12.96
3,1,6.7,24.0,0.5,0.5,0.76,0.0,0.3,26.06
3,1,2.31,17.0,1.0,0.5,0.0,0.0,0.3,18.8
3,1,1.2,6.5,1.0,0.5,1.66,0.0,0.3,9.96
3,1,0.71,5.0,0.5,0.5,0.0,0.0,0.3,6.3
3,1,2.35,9.5,0.0,0.5,1.03,0.0,0.3,11.33
3,1,0.79,5.0,1.0,0.5,0.0,0.0,0.3,6.8
3,1,6.06,23.5,1.0,0.5,4.55,0.0,0.3,29.85
3,1,2.97,13.0,0.5,0.5,2.86,0.0,0.3,17.16
3,1,0.62,8.5,0.0,0.5,0.0,0.0,0.3,9.3
3,1,0.0,2.5,0.5,0.5,0.0,0.0,0.3,3.8
3,1,0.92,7.0,0.5,0.5,0.0,0.0,0.3,8.3
3,1,11.2,51.0,1.0,0.5,0.0,0.0,0.3,52.8
3,1,5.81,24.5,0.0,0.5,0.0,0.0,0.3,25.3
3,1,0.66,5.0,0.0,0.5,0.0,0.0,0.3,5.8
3,1,0.9,10.0,1.0,0.5,0.0,0.0,0.3,11.8
3,1,5.17,22.5,0.0,0.5,4.66,0.0,0.3,27.96
3,1,13.42,40.0,0.5,0.5,4.13,0.0,0.3,45.43
3,1,8.46,27.5,0.0,0.5,0.0,0.0,0.3,28.3
3,1,2.42,10.5,0.5,0.5,0.0,0.0,0.3,11.8
3,1,0.92,6.0,0.0,0.5,0.0,0.0,0.3,6.8
3,1,13.58,40.0,0.0,0.5,0.0,0.0,0.3,40.8
3,1,2.37,12.0,0.5,0.5,0.0,0.0,0.3,13.3
3,1,10.36,31.5,1.0,0.5,0.0,5.54,0.3,38.84
3,1,0.72,8.5,1.0,0.5,2.58,0.0,0.3,12.88
3,1,1.45,10.0,0.0,0.5,1.62,0.0,0.3,12.42
3,1,1.08,11.0,1.0,0.5,0.0,0.0,0.3,12.8
3,1,1.81,13.5,0.0,0.5,0.0,0.0,0.3,14.3
3,1,2.69,11.5,0.5,0.5,2.3,0.0,0.3,15.1
3,1,0.49,4.5,1.0,0.5,0.0,0.0,0.3,6.3
3,1,1.27,12.0,0.0,0.5,0.0,0.0,0.3,12.8
3,1,4.16,16.5,0.0,0.5,0.0,0.0,0.3,17.3
3,1,1.52,10.5,0.0,0.5,2.26,0.0,0.3,13.56
3,1,0.35,3.5,0.0,0.5,0.86,0.0,0.3,5.16
3,1,2.53,12.5,1.0,0.5,0.0,0.0,0.3,14.3
3,1,0.35,4.0,0.0,0.5,0.96,0.0,0.3,5.76
3,1,0.96,6.0,0.5,0.5,0.0,0.0,0.3,7.3
3,1,2.95,21.5,0.0,0.5,0.0,0.0,0.3,22.3
3,1,6.36,22.5,1.0,0.5,0.0,0.0,0.3,24.3
3,1,9.98,29.5,0.0,0.5,4.55,0.0,0.3,34.85
3,1,0.59,4.0,0.0,0.5,0.72,0.0,0.3,5.52
3,1,1.77,11.0,1.0,0.5,0.0,0.0,0.3,12.8
3,1,1.0,6.0,0.5,0.5,1.1,0.0,0.3,8.4
3,1,2.15,11.5,0.0,0.5,1.23,0.0,0.3,13.53
3,1,2.61,15.0,1.0,0.5,0.0,0.0,0.3,16.8
3,1,0.59,5.5,0.0,0.5,1.26,0.0,0.3,7.56
3,1,10.48,31.0,0.0,0.5,0.0,0.0,0.3,31.8
3,1,1.33,9.0,0.5,0.5,2.58,0.0,0.3,12.88
3,1,0.59,4.0,0.5,0.5,1.06,0.0,0.3,6.36
3,1,1.66,9.5,0.5,0.5,1.62,0.0,0.3,12.42
3,1,1.38,12.5,0.0,0.5,0.0,0.0,0.3,13.3
3,1,1.94,13.5,0.0,0.5,0.0,0.0,0.3,14.3
3,1,4.48,19.5,0.0,0.5,4.06,0.0,0.3,24.36
3,1,0.82,6.0,0.5,0.5,0.07,0.0,0.3,7.37
3,1,2.49,12.0,0.5,0.5,0.0,0.0,0.3,13.3
3,1,5.65,20.5,0.5,0.5,2.18,0.0,0.3,23.98
3,1,1.04,10.5,0.0,0.5,1.13,0.0,0.3,12.43
3,1,1.66,13.5,0.0,0.5,0.0,0.0,0.3,14.3
3,1,0.3,3.0,0.0,0.5,0.0,0.0,0.3,3.8
3,1,2.62,13.5,1.0,0.5,1.53,0.0,0.3,16.83
3,1,4.51,17.0,0.0,0.5,2.67,0.0,0.3,20.47
3,1,8.38,26.5,0.5,0.5,0.0,0.0,0.3,27.8
3,1,0.51,3.5,0.5,0.5,0.0,0.0,0.3,4.8
3,1,1.5,8.5,0.5,0.5,0.0,0.0,0.3,9.8
3,1,0.48,6.5,0.0,0.5,0.73,0.0,0.3,8.03
3,1,6.12,21.0,0.0,0.5,4.8,0.0,0.3,26.6
3,1,2.2,12.5,0.5,0.5,0.0,0.0,0.3,13.8
3,1,1.04,7.0,0.5,0.5,0.0,0.0,0.3,8.3
3,1,1.35,11.0,0.0,0.5,2.12,0.0,0.3,13.92
3,1,0.67,8.0,1.0,0.5,0.0,0.0,0.3,9.8
3,1,3.33,15.0,0.5,0.5,0.0,0.0,0.3,16.3
3,1,2.48,10.5,0.0,0.5,0.0,0.0,0.3,11.3
3,1,0.98,7.0,0.0,0.5,0.0,0.0,0.3,7.8
3,1,17.5,52.0,0.0,0.5,0.0,5.54,0.3,58.34
3,1,1.42,7.5,0.0,0.5,0.0,0.0,0.3,8.3
3,1,0.47,7.0,0.0,0.5,0.78,0.0,0.3,8.58
